school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
CONCORD PRIMARY SCHOOL,http://www.concordpri.moe.edu.sg/,3    CHOA CHU KANG AVE 4,689814,67632139,na,67632452,na,CONCORD_PS@MOE.EDU.SG,Choa Chu Kang MRT Station,Bus 300 and 983,MR TAN SIEW TIONG,MS LIM KAR WAE FIONA,MDM GOH PUAY HOON JENNY,na,na,na,na,"Caring Hearts, Enriched Minds, Determined Spirits",To nurture Concordians with Character and Passion for learning to face life's challenges.,"The school believes that Every Concordian is An Engaged Learner and has provided platforms to enable our students to contribute, excel and to showcase their talents as Every Individual Matters. <br /><br />Through the programmes and efforts, the school strives to nurture our students with the essential 21st century competencies. The school builds a network of quality partnerships as we are firm believers of the adage that it takes a village to raise a child.  We want them to enjoy their schooling experiences, build strong foundations in knowledge, values and character and discover their passion in life.  We  aspire to develop Concordians who are upright and resilient and who possess the ability to boldly take on the challenges in life and contribute selflessly to the school and society.  <br /><br />The school has a unique iGIVE culture, which centres itself on building the character of its students. In iGIVE:<br />* Graciousness is to have the respect, harmony, care and abundance mentality to be able to work and support as a team.<br />* Integrity is to stay true to our mission, to go the extra mile, be responsible and accountable in actions and have the courage to stand up for what is right.<br />* Vibrancy is to cater to differentiated needs via providing a variety of platforms to learn, exhibit and excel, and to celebrate together with dignity and pride.<br />* Enterprise is to be daring to innovate and embark on calculated risks with a constructive mindset to learn and strive for peaks of excellence.",CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Approved and endorsed by MOE since 2014, the school leverages its Applied Learning Programme(E3 Reasoning) and Learning for Life Programme(Outdoor Education) to nurture holistic learners who are New-World Ready.<br /><br />E3 Reasoning<br />Concord places a premium on enabling them to think, discern and make informed decisions in life. Our E3 Reasoning is a unique initiative which aims to Enable, Enrich and Empower our students to analyse, infer, draw conclusions and generate new understanding based on Learner-Centred Pedagogy. Students are taught to rationalize and think visibly through our customized weekly lessons with progressive games, problem solving scenarios, Experiential Learning and Teachable Moments. The school has mapped out a progressive 6-year milestones plan to guide the delivery and attainment of the intended outcomes. As our students learn in fun ways, they also acquire the essential skills which will provide them with a good start in their journey ahead.<br /><br />Outdoor Education<br />Anchored on Gilbertson's OE Model and Longfellow's Outdoor Pedagogies, our curriculum offers opportunities for students to explore and apply skills learnt in an authentic environment. Our comprehensive curriculum is organised under 5 broad-based domains(Discovery, Sports, Nature, Camp and Training), which reinforces the development of values and character. Our students will learn skills such as navigation and tent-pitching and undergo Simulated Caving Experience, Rock Climbing and Kayaking, and are well placed to develop ruggedness, resilience, confidence and a heightened sense of appreciation and awareness for the environment. Students will learn to navigate, abseil independently and appreciate nature via carefully planned activities throughout their journey in the school.<br /><br />As a place for purposeful learning that equips students for the future, Concord is a choice school for all aspiring children. Caring Hearts, Enriched Minds and Determined Spirits - th"
CORPORATION PRIMARY SCHOOL,http://www.corporationpri.moe.edu.sg,31   JURONG WEST STREET 24,648347,67957381,na,67957098,na,cps@moe.edu.sg,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",MRS JENNIFER PANG CHEE CHYN,MDM POON GEK HONG,na,na,na,na,na,Nurturing Pupils who C.A.R.E to succeed<br />C.A.R.E represents:<br />C - Confident and equipped with creative and inventive thinking<br />A -  Actively Contribute<br />R -  Resilient<br />E -  Enthusiastically Learn,Providing holistic education to build character and develop talents in a nurturing environment.,"Corporation Primary School was established in 1975 and has a history of 41 years. The school aims to provide a holistic education through learner-centred approaches. As pupils have varied learning abilities and potential, our teachers are empowered to innovate and adopt creative strategies that best meet their needs.<br /><br />We are guided by our philosophy, 'Every child has intrinsic worth and he can learn and wants to learn. Every child has the ability to realise his fullest potential and can contribute to society in his individual capacity'. <br /> <br />We believe in developing talents by helping our pupils acquire new knowledge and skills to meet future challenges. Our pupils are provided with the opportunities to discover and develop their talents across domains in a nurturing environment. This belief is reflected in our school tagline: Creating Possibilities in Students. <br /><br />In line with our philosophy, character building is the core of our mission and sets the foundation for programme development. The school core values are anchored on the acronym - RICHER, which stands for Respect, Integrity, Compassion, Humility, Endurance and Responsibility. We are committed to guide pupils using Integrity as our moral compass, Endurance as the key to success, Responsibility and Humility as reflected in our actions and Respect and Compassion for better relationships. <br /><br />The school has a strong culture of care and strives to be 'One CPS Family', working towards a common goal. Through the school programmes, our pupils build authentic experiences and together with the close partnership of our parents, we aim to achieve our vision of 'Nurturing Pupils who C.A.R.E to Succeed'.",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"The school has various programmes to cater to the diverse needs of our pupils so as to develop them holistically.<br /><br />Talent Development Programme <br /><br />In our aspiration to develop talents, the school complements the Physical Education (PE) and Aesthetics curriculum with sports and art enrichment programmes. A variety of sports and aesthetic modules are offered to the pupils through the PE, Music and Art curriculum as well as the Programme for Active Learning. Learning journeys to art museums are also conducted for the P4 pupils as part of the museum based learning programme to enrich their learning experiences in visual arts.  Through these programmes, pupils' talents and passion are discovered and they are offered opportunities to deepen their skills through the various CCAs.  <br /><br />Learning for Life Programme (LLP): Developing Pupils in the Niche Area of Dance<br /><br />The LLP programme in dance aims to build confidence in pupils by exposing them to different dance forms and allowing them to express their creativity through dance and music. We have a structured and effective process to deepen their passion in dance and pursue dance as their life-long interest.  They are provided with opportunities to appreciate, create and express themselves through dance.<br /><br />GO-Green @ CPS <br />In collaboration with the South West CDC and National Environment Agency, CPS green programme educates and raises awareness among pupils, staff and parents on environmental issues, conservation and 3R practices (Reduce, Reuse and Recycle). In collaboration with the Art and Music Departments, the 3R practices are incorporated into their departmental programmes, using recycled materials to create artwork as well as design percussion instruments."
CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357  TANGLIN ROAD,247961,64758711,na,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MRS HELEN CHONG,MDM V PRIYA RAJAN,na,na,na,na,na,Ladies and Leaders of Tomorrow,"We nurture Crescentians to be Confident Learners, Global Citizens and Servant Leaders.","Crescent Girls' School provides a nurturing and innovative environment with a distinctive brand of education that empowers generations of students to grow into gracious and confident ladies, and caring visionary leaders. The school focuses on transforming the learning experiences of students through pervasive and purposeful use of technology. As one of the pioneer FutureSchools@Singapore, we continually harness technology to develop in our students a passion for learning and for life so that they are well-prepared for the challenges of the 21st century. Beyond academic excellence, the school is committed to inculcating sound values in our students so that they are able to contribute to the community. There is a pervasive culture of care in the school, and a strong emphasis on development of strength of character, focusing on moral courage, resilience, empathy and commitment to teamwork to nurture our students to be responsible members of society and gracious citizens of the world. The school has done well in many aspects over the years. This is possible due to a team of dedicated and innovative staff and the support of parents, alumnae and the school advisory committee.",BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"The school's Student Development Programmes are offered within our Student-centric Holistic Curriculum. In our Instructional Programmes, students are exposed to a myriad learner-centric teaching approaches that extend learning beyond the classroom and empower our students with 21st century competencies like collaboration, global awareness, skilled communication and real-world problem solving. Our 4-year Character & Leadership Development Programme provides all students with opportunities to develop their leadership potential. Our Values in Action Programme equips students with problem-solving skills and provides them with platforms to engage with the community, with the aim of inspiring and empowering them to make a difference in society. All students have opportunities to travel overseas in our Service Learning Programme, which aims to develop a sense of empathy, civic responsibility and cross-cultural skills in our students. Our Talent Development Programme aims to stretch our able, committed and creative students further. The school also offers the Music Elective Programme for students who are passionate about music."
CREST SECONDARY SCHOOL,http://www.crestsec.edu.sg,561  JURONG EAST STREET 24,609561,68992779,na,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502,",MR SEET TIAT HEE,MR HO KUM FAI SAM,MR CHAN TECK HONG DAVID,na,na,na,na,Advocating a Promising Future for Every Student.,"We are committed to providing a caring and creative learning environment that customises authentic learning experiences, builds our students' character and equips them for academic progression and employment.","Crest Secondary School's vision underscores our firm belief in our students' potential to succeed in their talents, areas of strength and passion, and our steadfast commitment in enabling them to realise their aspirations. As a Specialised School for Normal (Technical) students, we offer a four-year customised curriculum that integrates both academic learning and vocational training. Learning is practice-oriented, with an emphasis on skills development to better prepare our students for post-secondary learning at the Institute of Technical Education (ITE) and for future employment. Industry attachment is an important component of our students' holistic learning experience. In addition, our teachers deploy innovative pedagogies to strengthen our students' literacy and numeracy skills through real-world, ICT-enriched learning contexts. The school adopts a multi-faceted approach to develop our students as well-rounded individuals, anchored in good character and equipped with the skills and social and emotional competencies to succeed in life. The school collaborates with many partners from the industry and community to support our students' learning and holistic development. At the end of Sec 4, our students will graduate with the GCE 'N' Level Certificate and the ITE Skills Subject Certificate (ISSC).",JURONG EAST,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school offers the ITE Skills Subject Certificate (ISSC) as part of the upper secondary curriculum. As part of the ISSC, students can specialise in two out of five Skills Subjects: (1) Mechanical Design & Automation, (2) Culinary & Restaurant Operations, (3) Retail & e-Commerce, (4) Internet of Things Applications, and (5) Mobile Web Applications. Students will also have opportunities for an Industry Experiential Programme as part of the ISSC; 10 Taster Modules for the ISSC are offered in the lower secondary curriculum in accordance to the students' learning needs and profiles.  Outdoor Interdisciplinary Learning at places of interest including Gardens by the Bay, Singapore Zoo, SEA Aquarium; Student Development Programme (e.g. Domino Challenge, Crestan Lions), Aesthetics Elective Programme and Visual Arts Talent Development Programme to strengthen students' social and emotional competencies e.g. Dance & Body Movement, Doodling Art, Inline Skating, Drama and Communication, Photography and Videography, Media Production; Local and Overseas Cultural Immersion and Values-In-Action Programme (Vietnam, Cambodia, Indonesia); School Twinning Programme with Meridian International Learning Experience (High School from the Philippines); Local Adventure Programme."
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52   BEDOK RESERVOIR CRESCENT,479226,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,DR LEE KOK SONK,MDM LIM PECK CHIN YENLYN,na,na,na,na,"Confident Individuals, Thinking Learners, Engaged Leaders","To nurture and empower every Damaian to learn, grow and lead","All staff are committed and mission-driven to provide a quality student-centric, values-driven education. Our BrightSPARKs will be happy students who look forward to school and are motivated to learn and work with their peers.  Knowing each student and his needs, the school is able to equip each student with a strong foundation in literacy and numeracy and help each to grow in values, in sports and in the aesthetics.  Working in close partnership with the parents and the community, we seek their support in helping us to bring out the best in our students.",BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Learning for Life Programme (LLP), Programme for Active Learning (PAL), Swimsafer Programme, Math Enrichment Programmes<br /><br />D'Aesthetics Programme, a Learning for Life Programme (LLP), aims to provide students with the opportunity to learn about and experience the arts. This programme helps to cultivate values such as perseverance, self-discipline and appreciation to help students achieve success in school, work and life. This programme also aims to provide a common ground for cross-cultural competencies to be developed as it encourages expressions and contributes to the overall development of social skills, such as valuing diversity of ideas, respect and confidence building.<br /><br />Another LLP, D'COACH programme, is a school-wide values-based programme based on the core belief that sporting excellence and character development are inextricably linked. It provides opportunities and platforms for all students to be exposed to team sports. This equips them with attributes, competencies and the confidence to be team players. It aims to not only develop the students' talents and potential to excel in team sports but at the same time, instil valuable character traits and core values. <br /><br />PAL @ Damai for Primary 1 and 2 students is experiential in nature and incorporates learning in a creative, fun, and enjoyable way. It aims to facilitate a well-rounded development of students through a more balanced curriculum. In addition, students will be able to develop their Social and Emotional Learning (SEL) competencies. Students are provided with broad exposure and experiences through varied activities so that they can discover their interest and aptitudes. They will experience learning activities in four domains - Sports and Games, Outdoor Education, Performing and Visual Arts. Through these activities, students will develop confidence, creativity and collaboration skills which they can apply in their daily interactions."
DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD,479229,64436848,na,64425629,na,damai_ss@moe.edu.sg,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MDM CHAN WAN SIONG,MRS OH WEE MING,MR SIVAKUMAR S/O VISWANATHAN,na,na,na,na,A Purposeful and Meaningful Life,"To imbue students with sound moral values, journey with them on their exploration to discover themselves, their interests and talents, and nurture them to always do their best.","Damai Secondary School aims to nurture students into upright citizens who are determined to do their best always to fulfil their purpose in life in a meaningful way.  We believe everyone has the capacity to contribute to the good of society and make a positive difference in everything they do, and every individual has a role to play and a purpose in life.  The school will create opportunities for students' growth and development laying a strong foundation for them to build their future upon.  The school will provide students with opportunities to discover themselves through their studies, interaction and engagement with others (peers, teachers as well as the wider community), active participation in school activities and programmes, application of values and skills learnt in authentic settings, and reflections on lessons learnt.  Imbued with sound values and a positive attitude towards learning and life, students will be able to make informed decisions on the paths they should take upon completion of their studies at Damai Secondary School.",BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school offers a range of programmes to support students' development.  These include:  1.  Applied Learning Programme (ALP) which caters to the aptitudes, skills and knowledge related to Science, Technology, Engineering and Mathematics (STEM).  Our STEM-ALP focuses on Environmental and Health Sciences.  This programme enhances students' competencies in problem solving, scientific inquiry, computational thinking and design thinking through a series of modules that expose students to advanced electronics, programming, healthcare, environmental knowledge as well as related innovative projects.  With this early exposure, students will have the opportunity to explore their interests and talents in careers in the related fields.  2.  Learning for Life Programme (LLP) which aims to build character, citizenship and leadership through water and adventure sports.  Students will have opportunities to attain a Kayak 1-Star award, and enjoy experiences such as Dragon boating, flow-riding, scuba-diving, stand up paddling or windsurfing. Incorporated into the LLP are programmes/activities related to leadership training, life skills and Values-In-Action.  3.  Level-wide programmes including academic and National Education-related learning journeys; comprehensive Values-In-Action Programme as well as Sec 2 and Sec 3 cohort camps."
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35   BUKIT BATOK STREET 31,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,"187, 188",MDM YAP SIU LIN,MR PHANG TECK HOW,MRS BOEY- LIM SEOW KHIM,na,na,na,na,"Achievers rooted in values, soaring beyond limits","To nurture and inspire pupils to be self-directed learners, gracious and resilient, serving beyond self","Dazhong Primary School (DZPS) has a long history of almost 80 years. Anchored on our firm belief that every child can learn and give of one's best, we strive to groom every student to serve beyond oneself and faces challenges with resilience.                                                                                                                                                                                                                                                                     A student-centric approach is adopted in designing our holistic curriculum to help every student live out our school's values of 'IREAP': 'Integrity, Responsibility, Excellence, Acceptance and Perseverance'. Our six-year structured curriculum through our LLP-Arts Education programme offers a myriad of learning experiences which help to cultivate in every student, 'Howard Gardner's 5 Minds for The Future' - The Disciplinary Mind, The Synthesizing Mind, The Creating Mind, The Respectful Mind & The Ethical Mind'.  This prepares them to be self-directed learners, gracious and resilient citizens who seek to serve beyond self for the future.                                                                                                                                                                                       Coupled with a warm and caring environment afforded by a team of committed staff, we believe that our students can become 'Achievers rooted in values, soaring beyond limits'.",BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Learning for Life Programme (LLP): <br />Developing 21st century competencies through Arts Education Programme@Dazhong (AEP@DZPS). Our signature programme aims to develop our students to be future ready. We are also the only primary school in Singapore to have a Junior Orchestra Talent development programme supported by the MOE Arts Education Branch.<br /><br />Character & Citizenship Development: <br />Resilience@DZPS via Outdoor Education Programme (OEP) aims to build resilience and 'gritty' children through a longitudinal OEP, where students undergo rugged and authentic learning experiences to develop character, strength and tenacity. Other Character Development programmes include 'myCEED@DZPS - Character and Citizenship Programme, NE Current Buzz, Gratitude Journalling & Servant Leadership Development Programme through iLEAD (Leadership Experience at Dazhong).<br /><br />Cognitive (Critical & Inventive Thinking Development): <br />Beyond supporting the students' development in Literacy and Numeracy. Students are exposed to other stretch programmes such as Fun with Coding Programme to develop Computational Thinking Skills, Science Learning through the  I- Experience programme, Literacy programmes such as Writing With Purpose & the Math Mastery Programme."
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11   Choa Chu Kang St 52,689285,67667675,na,67622075,na,dlss@moe.edu.sg,YEW TEE MRT,"TIBS 302, 979",MDM CHERYL CHOO SHUEH-LI,MR CHING KIN HIN,MR SIM KOOI SUEN,na,na,na,na,"Lifelong Learners, Caring Citizens",Enabling youth in a Lasallian community to learn how to learn and to learn how to live; empowering them to be men of integrity and men for others,"De La Salle School was founded in 1952 by the De La Salle Brothers, and is one of the eight Christian Brothers Schools (CBS) in Singapore. The School takes pride in providing an all-inclusive environment for students (Lasallians) and staff of all races and religions to learn and work together.  The School believes that all Lasallians have the faith and zeal to learn and live to the best of their ability.  They can also serve and show care for others and in particular the last, the lost and the least in the community.  <br /><br />The School promotes a positive and flourishing school culture where staff, parents and Lasallians take ownership of their own learning and well-being, to know that they can make positive choices of everything in their lives if they can practise mindfulness and gratitude. The school focuses on building a De La Salle School brand of quality work, service and relationships that ensure professionalism and uplifting Lasallians' and staff morale.",CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Lifelong Learning Programme: <br />Positive Education@ DLS<br />Nurturing Mindful Servant Leaders<br /><br />De La Salle School focuses on nurturing our Lasallians to be Lifelong Learners and Caring Citizens. This is done through our focus on Lasallian values of Faith, Service and Community as well as the School values of Respect, Responsibility and Resilience. Using Positive Education as our approach towards nurturing mindful servant leaders, the motto of our leadership programme, ""To Serve with Zeal and Faith"" focuses on our in-house servant leadership programme which incorporates Robert Greenleaf's philosophy of Servant Leadership with the five elements of Martin Seligman's PERMA model of well-being. Lasallians who possess strong leadership potential will be further developed through 3 leadership tracks namely, Class leadership, CCA leadership and Lasallian leadership. <br /><br />Special Programmes : <br />MentoringMatters and Character Building Programme <br /><br />The MentoringMatters in De La Salle School aims to strengthen the Social and Emotional (SE) Competencies of Lasallians to help them better manage and learn from challenges faced.  The Character Building Programme provides opportunities for selected Primary Three to Five Lasallians in developing their self and social management competencies. It includes in hands-on activities such as Traditional Chinese Drumming to develop Lasallians' social-emotional competencies, self-regulatory skills and ability to exercise discernment through experiential learning opportunities. The programme culminates in a performance put by the students involved, at one of the school's formal events, allowing them to showcase their abilities and to celebrate their achievements as a Lasallian community."
DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1    ANG MO KIO STREET 42,569277,64561565,na,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 73, 74, 76, , 88, 132, 135, 159, 162, 165, 261, 262, 268, 853",MRS LIM AI POO,MDM TAN SHAO MAY,MR APOLLOS INDUCHOODAN S/O R A P,na,na,na,na,"Active Learners, Gracious Citizens","Inspiring Lives, Nurturing Talents, Realising Dreams","Deyi Secondary School is guided by our philosophy that every child entrusted to our care is a gem and our teachers' role is to help each child unleash his potential and fulfil his dream. We endeavour to develop our students to become self-directed learners who actively seek out knowledge and make meaning of what they learn for themselves so that they are better prepared for the challenges of the 21st century. We strive to nurture concerned citizens who exercise self-leadership and civic-mindedness, and contribute towards the betterment of society. Our students manifest deep-rooted values through gracious thoughts and actions, and display a global outlook by embracing diversity and differing perspectives.",ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Deyi's ACTIVE VOICE BROADCAST JOURNALISM introduces students to the basics of Broadcasting & Journalism, which strengthens language literacy, critical thinking and communication skills. The ALP covers Mass Communication & Media, ICT in Information Gathering, Writing & Presenting. Students will have a greater engagement with language learning, thus gaining a deeper understanding of the uses, impact and influence of language in becoming competent, confident and effective communicators. Deyi's AC3TIve Framework also provides impetus to our MIKEMON curriculum innovation project, by adding a fun twist on language acquisition with engagement in pen-it-down and mike-it-up tasks, to foster Joy of Learning across a range of subjects and topics. Complementing the ALP is our Learning for Life Programme which nurtures gracious contributing citizens through our distinctive ARTS EDUCATION with our signature Drama-in-curriculum modules. Through our Talent Development Programme, students with a deeper passion and aptitude in Music/Drama are further developed to receive accreditation from reputable international institutions and are eligible to pursue Drama O-Levels. Level Camps (NAVIGATION; SYNERGY; CONQUEST; PINNACLE) are part of our CCE programme that provides authentic experiences to acquire and practise school values, and develop physical, social and personal skills. Our YOUTH SOCIAL ENTREPRENEURSHIP is another exciting collaborative platform engaging students with social issues and problem-solving skills to help beneficiaries through hands-on community service projects. We believe that every student is a leader and our Student Leadership Development Programme develops them into confident leaders who contribute actively. Along with learning journeys, field trips, experiential learning, and education & career guidance conducted in partnership with the institutes of higher learning, our students are prepared holistically for the future."
DUNEARN SECONDARY SCHOOL,http://www.dunearnsec.moe.edu.sg,21   BUKIT BATOK WEST AVENUE 2,659204,65653692,na,65668650,na,DUNEARN_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MDM TAN MIAO LING,MRS SHANTHIMALAR SOMASUNDRAM,MRS TAY CHEN LAI,na,na,na,na,"Lifelong Learners, Caring Leaders",Nurturing Dunearnites to learn with passion and lead with purpose,"Dunearn Secondary School provides a holistic education for all its students. We believe that all students have the potential to learn and that, through determination and discipline, they will achieve optimum growth in a challenging yet supportive and caring environment. We develop our students to be self-directed learners through the strategies of differentiated instruction and collaborative learning, with emphasis on building good character.",BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"In line with developing 21st Century Competencies, students engage in Collaborative and Self-Directed Learning. Alternative assessment modes include coursework, journalling and skills-based investigations. The school has programmes for high achievers, including its Science Ambassadors and Ace in Mathematics programmes. Elective Modules and Advanced Elective Modules provide opportunities for real-world learning. The school's Applied Learning Programme in Food Science and Technology seeks to develop students' creativity, confidence and interest in Science and Technology. The school works with external organisations to design customised programmes such as After-School Engagement and Enhanced Step-Up programmes. Character and Citizenship Education lessons integrate the teaching of school values with the teaching of Social-Emotional Competencies. The Dunearn Character Development Profile is a formative assessment tool to help students take ownership of their character development. Pupil Teacher Relational Time is dedicated time for Form Teachers to conduct structured dialogues with students. The school emphasises the internalisation of values and putting them into action through its differentiated Values in Action (VIA) programme. Students are involved in learning about and understanding issues pertaining to the environment, school, and local and overseas communities. Education and Career Guidance is implemented through Values Education lessons, visits to post-secondary institutions, and the school's Higher Institutions and Careers Week. The school's Learning for Life Programme focuses on Community Youth Leadership, which seeks to permeate a culture of school-wide community youth leadership development. It is the school's vision that all students will acquire the necessary knowledge, skills and values to be a personal leader, a team leader, a community leader, and a global leader."
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10   TANJONG RHU ROAD,436895,63450533,na,63442316,na,DHS@MOE.EDU.SG,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",MR LOW TECK ENG TONY,MISS LIE SUYIN JAMIE,MDM LEONG SOOK HING,na,na,na,na,The Premier School of Leaders of Honour,"To Nurture Our Students to Care, to Serve, and to Lead","In Dunman High School, we view the twin pillars of a rigorous curriculum and character development as fundamental to the education of our students. This educational ethos is influenced by Confucian philosophy, where the Head, Heart and Hands are important in developing all-round individuals and knowledgeable Leaders of Honour with a heart to care for and serve others within and beyond the school community.",KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,Yes,Yes,Chinese,na,na,"Established in 1956, Dunman High School has distinguished itself as a Special Assistance Plan (SAP) school since 1979 and as a school accorded with Autonomous Status since 1994. We offer an Integrated Programme with  opportunities in School-based Gifted Education, Music Elective Programme, Bicultural Studies Programme, Chinese Language Elective Programme, Talent Development Programme, Thinking & Research Skills Programme, and Student Leadership Development Programme."
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21   TAMPINES STREET 45,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MRS CLAIRE CHO,MR MOHAMED SAYADI BIN MOHAMED NOR,na,na,na,na,An institution of excellence which nurtures ethical change-makers.,"We are committed to instilling in our students the Five Fundamental Values of: Discipline in attitude and conduct, Determination to persevere in all that we do, Discernment in making morally sound decisions, Duty to our school, community and nation and Daring to have the courage to experiment.","As a high-performing Autonomous School, our value proposition is Dunman Aspires, Builds and Cares.  We Aspire to be better than we ever imagined we could be. We believe in each child's different abilities and his potential to become an inquiring and independent learner who owns his learning outcomes.  We Build people as we are one community. We provide a rigorous and holistic education which nurtures students to excel in lifelong learning. We dare to innovate and challenge our students and staff to do things differently. We place a premium on character development and positive teacher-student relationships. Together with the strong partnerships forged with parents and stakeholders, we believe that our high-care, high-expectations approach to nurturing the child will develop the necessary skills.  We Care by giving back to others, through instilling in students values and character that will essentially shape them into well-rounded and contributing members of society.",TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"As the East Zone Centre of Excellence for Innovations in Science, the school has a high-end Life Sciences Research Centre and an exciting Science enrichment programme 'ELIXiR' (Explore, Life, Innovations, eXcel, individual Responsibility). We provide a vibrant school-based curriculum such as MEDAL, which integrates Music, English and Literature. Students also undergo an ICT-driven Science Project Work where they work collaboratively and independently to create mobile apps, micro:bit programming or 3D printing. Some of these Apps have been featured in the iTunes store. Our robust Character and Citizenship Education Programme provides every student with leadership opportunities. The school offers its Global Education Programme with the desire to allow every Dunmanite to have an overseas experience to develop global awareness and rootedness to Singapore.  Our vibrant Values-in-Action programme enables students to serve the community and society at large. The school is one of the five pilot schools selected by MOE to implement a total curriculum that infuses the teaching of 21st century competencies. The Dunman All-Round Excellence (DARE) Framework undergirds our focus on holistic education to nurture ethical change-makers.  All learning takes place in a technologically well equipped learning space that supports the school's aspiration to be a SMART school."
