licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code
B98014C000,NTUC Fairprice Co-operative Ltd,na,215,1,877,ANG MO KIO AVENUE 1,560215
B02015J000,SHENG SIONG SUPERMARKET PTE LTD,na,122,1,1753,ANG MO KIO AVENUE 3,560122
CE05096V000,COLD STORAGE SINGAPORE (1983) PTE LTD,MULTI STOREY CAR PARK,316B,1,11,ANG MO KIO STREET 31,563316
CE04334P000,SHENG SIONG SUPERMARKET PTE LTD,na,233,1,1168,ANG MO KIO AVENUE 3,560233
CE13401C000,G8 MART PTE. LTD.,na,421,1,1161,ANG MO KIO AVENUE 10,560421
S02021B000,NTUC Fairprice Co-operative Ltd,na,510,1,520,BISHAN STREET 13,570510
S02023V000,NTUC Fairprice Co-operative Ltd,JUNCTION 8 SHOPPING CENTRE,9,B1,20,BISHAN PLACE,579837
CE09512V000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,512,1,524,BISHAN STREET 13,570512
S94081C000,NTUC Fairprice Co-operative Ltd,na,279,1,62/64,BISHAN STREET 24,570279
S02020C000,TAN SUAN GUAY,na,116,1,32,BISHAN STREET 12,570116
S02056B000,NTUC Fairprice Co-operative Ltd,THOMSON PLAZA,301,3,25,UPPER THOMSON ROAD,574408
S02058V000,SHENG SIONG SUPERMARKET PTE LTD,THOMSON IMPERIAL COURT,200,B1,1,UPPER THOMSON ROAD,574424
S02057A000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,181,1,602,LORONG 4 TOA PAYOH,310181
S02204N000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,260,1,1,KIM KEAT AVENUE,310260
S02051L000,NTUC Fairprice Co-operative Ltd,na,192,1,672,LORONG 4 TOA PAYOH,310192
S02103A000,NTUC Fairprice Co-operative Ltd,HDB HUB,500,na,0,LORONG 6 TOA PAYOH,310500
S97079B000,SHENG SIONG SUPERMARKET PTE LTD,na,4,1,107,LORONG 7 TOA PAYOH,310004
W02074L000,COLD STORAGE SINGAPORE (1983) PTE LTD,NOVENA SQUARE,238,1,28/29,THOMSON ROAD,307683
W02064P000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,36A,1,44,DUNEARN ROAD,309426
CE15729L000,COLD STORAGE SINGAPORE (1983) PTE LTD,NOVENA REGENCY,275,1,39/42,THOMSON ROAD,307645
CE13O90C000,NTUC Fairprice Co-operative Ltd,na,20,2,1,AH HOOD ROAD,329984
CE06L48L000,NTUC Fairprice Co-operative Ltd,SQUARE 2,10,4,47/48,SINARAN DRIVE,307506
W02084J000,NTUC Fairprice Co-operative Ltd,na,360,B1,0,BALESTIER ROAD,329783
CE07T39B000,L M MEAT PTE. LTD,SQUARE 2,10,4,55,SINARAN DRIVE,307506
C02025V000,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE JELITA,293,na,0,HOLLAND ROAD,278628
CE06464C000,COLD STORAGE SINGAPORE (1983) PTE LTD,CLUNY COURT,501,1,2,BUKIT TIMAH ROAD,259760
W02066L000,COLD STORAGE SINGAPORE (1983) PTE LTD,HOLLAND ROAD SHOPPING CENTRE,211,1,5,HOLLAND AVENUE,278967
NW08477X000,NTUC Fairprice Co-operative Ltd,na,36,1,3,HOLLAND DRIVE,270036
W02430L000,THE FISHWIVES PTE. LTD.,(PART OF) CLUNY COURT,501,1,05B,BUKIT TIMAH ROAD,259760
B03074A000,THE BUTCHER (SINGAPORE) PTE. LTD.,na,44,1,50,JALAN MERAH SAGA,278116
CE07783P000,SHENG SIONG SUPERMARKET PTE LTD,MULTI STOREY CAR PARK,88,1,10,TANGLIN HALT ROAD,141088
CE07411A000,CULINA PTE LTD,PART OF,8,1,13,DEMPSEY ROAD,247696
CE15F60K000,HUBER'S PTE. LTD.,1st & 2nd storey,22,na,0,DEMPSEY ROAD,249679
W70029L000,NTUC Fairprice Co-operative Ltd,na,170,1,1147,STIRLING ROAD,140170
CE07569B000,COLD STORAGE SINGAPORE (1983) PTE LTD,ANCHOR POINT,370,B1,42554,ALEXANDRA ROAD,159953
CE15J25N000,SHENG SIONG SUPERMARKET PTE LTD,MULTI STOREY CAR PARK,85,1,1,DAWSON ROAD,141085
CE05487V000,NTUC Fairprice Co-operative Ltd,na,1,1,4500,JALAN BUKIT MERAH,150001
CE04086K000,NTUC Fairprice Co-operative Ltd,DAWSON PLACE,57,1,1,DAWSON ROAD,142057
CE07B77K000,L M MEAT PTE. LTD,ANCHORPOINT,370,B1,58,ALEXANDRA ROAD,159953
W74072X000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,8,1,171,TELOK BLANGAH CRESCENT,090008
W02083K000,NTUC Fairprice Co-operative Ltd,02-3531 BUKIT MERAH AREA OFFICE,166,1,3527,BUKIT MERAH CENTRAL,150166
CE15G35E000,NTUC Fairprice Co-operative Ltd,na,20,1,13,LENGKOK BAHRU,159053
CE06044N000,NTUC Fairprice Co-operative Ltd,VALLEY POINT,491,1,14,RIVER VALLEY ROAD,248371
W72014K000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,86,1,610,REDHILL CLOSE,150086
W02086C000,NTUC Fairprice Co-operative Ltd,na,50,1,755,HAVELOCK ROAD,160050
CE08015J000,NTUC Fairprice Co-operative Ltd,KAI FOOK MANSION,18 /20,na,0,KIM TIAN ROAD,169252
W02072P000,NTUC Fairprice Co-operative Ltd,TIONG BAHRU PLAZA,302,B1,1,TIONG BAHRU ROAD,168732
W02068J000,COLD STORAGE SINGAPORE (1983) PTE LTD,GREAT WORLD CITY,1,B1,18/19,KIM SENG PROMENADE,237994
CE10G36A000,FOUR SEASONS ORGANIC MARKET PTE. LTD.,GREAT WORLD CITY,1,B2,42557,KIM SENG PROMENADE,237994
CE14P57N000,FASSLER GOURMET PTE LTD,TIONG BAHRU ESTATE,55,1,55,TIONG BAHRU ROAD,160055
CE06837J000,THE BUTCHER'S DOG PTE. LTD.,GREAT WORLD CITY,1,B2,42715,KIM SENG PROMENADE,237994
CE13R41C000,SECRETS FINE FOOD PTE. LTD.,TIONG BAHRU ESTATE,55,1,2,TIONG BAHRU ROAD,160055
CE11C49E000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,26,1,7,JALAN MEMBINA,161026
CE10I13B000,FOODIE MARKET PLACE PTE LTD,na,225,na,0,OUTRAM ROAD,169038
CE12H50C000,NTUC Fairprice Co-operative Ltd,100 AM,100,B1,1,TRAS STREET,079027
W02092J000,NTUC Fairprice Co-operative Ltd,na,5,1,1,TANJONG PAGAR PLAZA,081005
CE10G35B000,FOUR SEASONS GOURMET MARKET PTE. LTD.,#B2-44/45/48/49/50,8A,na,0,MARINA BOULEVARD,018984
CE14G71E000,COLD STORAGE SINGAPORE (1983) PTE LTD,ALTEZ (UNITS: #01-05/06/07/08),16,na,0,ENGGOR STREET,079717
CE13Z38L000,AP HOUSE PTE. LTD.,"ASIA SQUARE TOWER 2 (3 Units: 6, 7 & 8)",12,1,42588,MARINA VIEW,018961
CE10K82J000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,2,B2,46,BAYFRONT AVENUE,018972
CE12Y69L000,LOTTE MART PTE. LTD.,na,67,1,0,TANJONG PAGAR ROAD,088488
CE09874X000,AL MARCHE PTE LTD,"SAIL @ MARINA BAY, THE",2,B1,5,MARINA BOULEVARD,018987
W02332N000,SHENG SIONG SUPERMARKET PTE LTD,na,52,1,25,CHIN SWEE ROAD,160052
W02076J000,HONG HENG SENG,na,5,3,92,BANDA STREET,050005
W02099P000,WAN SIEW YOONG,na,4,2,103,SAGO LANE,050004
W03467A000,COLD STORAGE SINGAPORE (1983) PTE LTD,FUNAN THE IT MALL,109,B1,42463,NORTH BRIDGE ROAD,179097
W02080P000,COLD STORAGE SINGAPORE (1983) PTE LTD,RAFFLES CITY SHOPPING CENTRE,252,B1,1,NORTH BRIDGE ROAD,179103
W90084A000,NTUC Fairprice Co-operative Ltd,CHINATOWN POINT,133,B1,1,NEW BRIDGE ROAD,059413
CE14938E000,SONG FISH DEALER PTE LTD,CHINATOWN POINT,133,B1,26,NEW BRIDGE ROAD,059413
CE13Z03L000,COLD STORAGE SINGAPORE (1983) PTE LTD,SUNTEC CITY MALL,3,B1,148,TEMASEK BOULEVARD,038983
CE15E72J000,EPICUREAN CONCEPTS MARINA SQUARE PTE. LTD.,MARINA SQUARE,6,1,21,RAFFLES BOULEVARD,039594
CE15N29C000,BOZZ INTERNATIONAL PTE. LTD.,MARINA SQUARE,6,3,130A,RAFFLES BOULEVARD,039594
W02081N000,LOH NYEN YIU,GOLDEN MILE COMPLEX,5001,2,64,BEACH ROAD,199588
W02091K000,NTUC Fairprice Co-operative Ltd,ROCHOR CENTRE,1,1,640,ROCHOR ROAD,180001
CE15198A000,DEARN KAPAG PTE. LTD.,GOLDEN MILE COMPLEX,5001,1,36,BEACH ROAD,199588
CE12096L000,SHENG SIONG SUPERMARKET PTE LTD,NEW WORLD CENTRE,1,B1,44621,JALAN BERSEH,209037
CE04136B000,SHENG SIONG SUPERMARKET PTE LTD,na,2,B2,1,SERANGOON ROAD,218227
E02140N000,SHENG SIONG SUPERMARKET PTE LTD,NEW WORLD CENTRE,1,B1,2,JALAN BERSEH,209037
CE15F83X000,PARDESHI PTE. LTD.,na,60,na,0,DESKER ROAD,209586
W02075K000,COLD STORAGE SINGAPORE (1983) PTE LTD,BUGIS JUNCTION,230,B1,16,VICTORIA STREET,188024
CE11H82X000,"JEWISH WELFARE BOARD, SINGAPORE",JEWISH SYNAGOGUE,24,2,1,WATERLOO STREET,187950
CE16445A000,MAHOTA FOOD PTE. LTD.,KITCHENER COMPLEX,809,3,31,FRENCH ROAD,200809
W03142N000,MUSTAFA HOLDINGS PTE LTD,na,147,na,0,SYED ALWI ROAD,207706
CE13Z98K000,NTUC Fairprice Co-operative Ltd,KITCHENER COMPLEX,808,1,1,FRENCH ROAD,200808
CE14G73B000,COLD STORAGE SINGAPORE (1983) PTE LTD,APERIA,12,1,47,KALLANG AVENUE,339511
CE09H10X000,NTUC Fairprice Co-operative Ltd,CITY SQUARE MALL,180,B1,42652,KITCHENER ROAD,208539
CE15H95V000,SONG FISH DEALER PTE LTD,CITY SQUARE MALL,180,B1,7,KITCHENER ROAD,208539
E02042P000,PRIME SUPERMARKET LIMITED?,na,803,1,154,KING GEORGE'S AVENUE,200803
CE12546B000,SHENG SIONG SUPERMARKET PTE LTD,"#01-02, #02-01/02/03/04/05 BCH@301",301,na,0,GEYLANG ROAD,389344
CE07D83B000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,5,1,5,UPPER BOON KENG ROAD,380005
E73010V000,SHENG SIONG SUPERMARKET PTE LTD,na,11,1,901,UPPER BOON KENG ROAD,380011
CE05295K000,NTUC Fairprice Co-operative Ltd,na,71,2,531,KALLANG BAHRU,330071
CE14Q85A000,B & S MINI MART PTE. LTD.,na,310,na,0,GEYLANG ROAD,389349
CE10085L000,PRB TRADING PTE. LTD.,#B1-01 & #01-01,230,na,0,GEYLANG ROAD,389290
CE09744N000,YEO HOCK HENG,na,5,na,0,ALJUNIED ROAD,389797
CE14M81K000,MONAKO ASIA PTE. LTD.,na,1,1,1,LORONG 15 GEYLANG,388595
W02065N000,COLD STORAGE SINGAPORE (1983) PTE LTD,UNITED SQUARE,101,B1,52,THOMSON ROAD,307591
CE07863X000,I-TEC SUPERMART PTE LTD,na,371,na,0,SERANGOON ROAD,218120
CE04558K000,SHENG SIONG SUPERMARKET PTE LTD,na,108,1,295,MCNAIR ROAD,321108
CE07320C000,NTUC Fairprice Co-operative Ltd,na,43,1,15,CAMBRIDGE ROAD,210043
CE08H32N000,NTUC Fairprice Co-operative Ltd,na,80,1,191,LORONG LIMAU,320080
CE12695A000,HAO MART PTE. LTD.,na,74,1,332,WHAMPOA DRIVE,320074
W86178J000,AMISTA INTERNATIONAL PTE. LTD.,na,684,1,300,RACE COURSE ROAD,210684
CE09H21L000,SEMPER FIDELIS FINE FOODS PRIVATE LIMITED,OKIO,262,1,4,BALESTIER ROAD,329714
CE15577J000,COLD STORAGE SINGAPORE (1983) PTE LTD,ORCHARD HOTEL,442,B1,42675,ORCHARD ROAD,238879
CE08808B000,SWISS BUTCHERY PTE LTD,na,56,1,2,TANGLIN ROAD,247964
CE13539N000,SUPERNATURE PTE LTD,#B1-05/06/07/08/09 FORUM,583,na,0,ORCHARD ROAD,238884
W02073N000,COLD STORAGE SINGAPORE (1983) PTE LTD,TANGLIN MALL,163,B1,42431,TANGLIN ROAD,247933
CE10B87J000,COLD STORAGE SINGAPORE (1983) PTE LTD,ALOCASSIA APARTMENTS,383,1,09A,BUKIT TIMAH ROAD,259727
W02079B000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,1,B1-,41,CLAYMORE DRIVE,229594
W02078C000,ISETAN (SINGAPORE) LIMITED?,SHAW HOUSE,350,B1,0,ORCHARD ROAD,238868
CE11M39P000,NTUC Fairprice Co-operative Ltd,#B1-03/07 & #B1-10 SCOTTS SQUARE,6,na,0,SCOTTS ROAD,228209
W02070V000,COLD STORAGE SINGAPORE (1983) PTE LTD,THE PARAGON,290,B1,14/15,ORCHARD ROAD,238859
W02096A000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,81,2,18,CLEMENCEAU AVENUE,239917
W02239E000,NTUC Fairprice Co-operative Ltd,ORCHARD GRAND COURT,131,1,"01,02",KILLINEY ROAD,239571
W02088A000,COLD STORAGE SINGAPORE (1983) PTE LTD,PLAZA SINGAPURA,68,B2,15/16,ORCHARD ROAD,238839
W02094C000,MEIDI-YA SINGAPORE CO (PTE) LTD,LIANG COURT SHOPPING CENTRE,177,B1,17,RIVER VALLEY ROAD,179030
W92120K000,THE BUTCHER (SINGAPORE) PTE. LTD.,na,11,na,0,MOHAMED SULTAN ROAD,239010
CE10338J000,COLD STORAGE SINGAPORE (1983) PTE LTD,RIPLEONE SOMERSET (UNIT:#01-04/04A/05/06/07/08/09),111,na,0,SOMERSET ROAD,238164
CE12I36P000,COLD STORAGE SINGAPORE (1983) PTE LTD,ION ORCHARD,2,B4,17/19,ORCHARD TURN,238801
W02071X000,COLD STORAGE SINGAPORE (1983) PTE LTD,NGEE ANN CITY TOWER A,391A,B2,1,ORCHARD ROAD,238873
SE14441L000,NTUC Fairprice Co-operative Ltd,POTONG PASIR COMMUNITY CENTRE,6,1,1,POTONG PASIR AVENUE 2,358361
SE06616X000,LIN POH LING,na,212,1,43/45,LORONG 8 TOA PAYOH,310212
NE06429X000,COLD STORAGE SINGAPORE (1983) PTE LTD,MULTI STOREY CAR PARK,266,1,2,COMPASSVALE BOW,540266
NE08150C000,NTUC Fairprice Co-operative Ltd,UNIT 01,BLK 277C,1,13,COMPASSVALE LINK,543277
NE16139A000,COLD STORAGE SINGAPORE (1983) PTE LTD,LOYANG POINT,259,1,27,PASIR RIS STREET 21,510259
CE15695V000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,279,1,6,SENGKANG EAST AVENUE,540279
NE15760A000,RAW MARKET PTE. LTD.,SEASTRAND,11,1,48,PASIR RIS LINK,518180
NE15707K000,AZMI SHOP PTE. LTD.,PALM ISLES,42,1,77,FLORA DRIVE,506867
S02054E000,NTUC Fairprice Co-operative Ltd,RIVERVALE MALL,11,3,1,RIVERVALE CRESCENT,545082
S02055C000,NTUC Fairprice Co-operative Ltd,RIVERVALE PLAZA,118,1,8,RIVERVALE DRIVE,540118
NE15476B000,NTUC Fairprice Co-operative Ltd,na,308C,1,352,PUNGGOL WALK,823308
S02151E000,PRIME SUPERMARKET LIMITED?,na,263,1,1,COMPASSVALE STREET,540263
NE15211C000,SHENG SIONG SUPERMARKET PTE LTD,PUNGGOL PARCVISTA,312A,1,4,SUMANG LINK,821312
NE15440C000,U STARS SUPERMARKET PTE. LTD.,MULTI STOREY CAR PARK,261,1,2,PUNGGOL WAY,820261
NE12I65N000,LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,PUNGGOL REGALIA,273C,1,884,PUNGGOL PLACE,823273
NE12B79A000,NTUC Fairprice Co-operative Ltd,na,612,1,6,PUNGGOL DRIVE,820612
NE15762X000,NTUC Fairprice Co-operative Ltd,WATERWAY POINT,83,B2,32,PUNGGOL CENTRAL,828761
NE09359K000,SHENG SIONG SUPERMARKET PTE LTD,MULTI STOREY CAR PARK,301,1,1,PUNGGOL CENTRAL,820301
NE15611B000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,671,2,1,EDGEFIELD PLAINS,820671
NE04107V000,NTUC Fairprice Co-operative Ltd,PUNGGOL PLAZA,168,3,1,PUNGGOL FIELD,820168
S02127E000,PRIME SUPERMARKET LIMITED?,na,108,1,2,PUNGGOL FIELD,820108
NE13M11K000,COLD STORAGE SINGAPORE (1983) PTE LTD,PUNGGOL SPECTRA,622D,1,6,PUNGGOL CENTRAL,824622
NE10113B000,ANG MO SUPERMARKET PTE LTD,na,639,1,1,PUNGGOL DRIVE,820639
NE15276N000,SHENG SIONG SUPERMARKET PTE LTD,COSTA RIS,527D,1,1,PASIR RIS STREET 51,514527
NE07474A000,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT HYPERMARKETS,21,na,0,TAMPINES NORTH DRIVE 2,528765
NE04092A000,GOLDEN BAMBOO BROS SUPERMART PTE LTD,ELIAS MALL,625,1,302,ELIAS ROAD,510625
S02034N000,NTUC Fairprice Co-operative Ltd,na,1,B1,10,PASIR RIS CENTRAL STREET 3,518457
S98084K000,NTUC Fairprice Co-operative Ltd,(PASIR RIS 734 NEW MARKET),734,1,37,PASIR RIS STREET 72,510734
NE08058P000,NTUC Fairprice Co-operative Ltd,PASIR RIS NTUC RESORT,1,2,127,PASIR RIS CLOSE,519599
NE04023C000,SHENG SIONG SUPERMARKET PTE LTD,LOYANG POINT,258,1,333,PASIR RIS STREET 21,510258
S02033P000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,440,1,1,PASIR RIS DRIVE 4,510440
S02052K000,NTUC Fairprice Co-operative Ltd,na,475,1,145,TAMPINES STREET 44,520475
NE15002X000,SHENG SIONG SUPERMARKET PTE LTD,S11 COURT,506,1,361,TAMPINES CENTRAL 1,520506
S02036K000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,9,1,30,TAMPINES STREET 32,529286
S02037J000,YES SUPERMARKET PTE LTD,na,201B,1,1091,TAMPINES STREET 21,522201
NE09341J000,NTUC Fairprice Co-operative Ltd,CENTURY SQUARE,2,B1,42589,TAMPINES CENTRAL 5,529509
S02039C000,NTUC Fairprice Co-operative Ltd,TAMPINES MALL,4,B1,12,TAMPINES CENTRAL 5,529510
NE09027A000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,10,B1,42401,TAMPINES CENTRAL 1,529536
NE04114A000,NTUC Fairprice Co-operative Ltd,TAMPINES CENTRAL COMMUNITY COMPLEX,866A,1,1,TAMPINES STREET 83,521866
NE04047K000,NTUC Fairprice Co-operative Ltd,na,138,1,136,TAMPINES STREET 11,521138
S02053J000,NTUC Fairprice Co-operative Ltd,na,107,1,353/9,TAMPINES STREET 11,521107
NE12J52X000,YES SUPERMARKET PTE LTD,na,138,1,110,TAMPINES STREET 11,521138
NE10213X000,SHAHUL HAMEED S/O ABDUSALAM,na,280,1,244,TAMPINES STREET 22,520280
NE04155C000,YES SUPERMARKET PTE LTD,na,na,na,0,na,0na
S02040X000,PRIME SUPERMARKET LIMITED?,na,823,1,160,TAMPINES STREET 81,520823
S02038E000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,829,1,284/8,TAMPINES STREET 81,520829
S02049A000,NTUC Fairprice Co-operative Ltd,na,745,1,3015,BEDOK RESERVOIR ROAD,470745
S02048B000,SHENG SIONG SUPERMARKET PTE LTD,MULTI STOREY CAR PARK,739A,1,1,BEDOK RESERVOIR ROAD,471739
E79179V000,MELON SUPERMARKET PTE LTD,na,510,1,33,BEDOK NORTH STREET 3,460510
E02033X000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,509,1,121,BEDOK NORTH STREET 3,460509
E02032V000,SHENG SIONG SUPERMARKET PTE LTD,BEDOK NORTH AREA OFFICE,539A,1,477,BEDOK NORTH STREET 3,461539
S02210X000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,631,1,954,BEDOK RESERVOIR ROAD,470631
NE14190K000,MUMTAZ ENTERPRISE PTE LTD,THE LEO,23,1,2,KAKI BUKIT ROAD 3,415812
NE12C18V000,FRIENDS HYPERMART PTE. LTD.,KAKI BUKIT RECREATION CENTRE,7,1,16,KAKI BUKIT AVENUE 3,415814
NE04109P000,AZ SUPERMART PTE. LTD.,GOLDEN BUKIT DORMITORY 2,21,na,0,KAKI BUKIT AVENUE 3,415920
NE08405X000,CHUA & NG PTE. LTD.,na,632,1,824,BEDOK RESERVOIR ROAD,470632
S02024X000,COLD STORAGE SINGAPORE (1983) PTE LTD,HEARTLAND MALL- KOVAN (SUPERMARKET),205,1,133,HOUGANG STREET 21,530205
NE11529V000,PRIME SUPERMARKET (1996) PTE LTD,MULTI STOREY CAR PARK,159A,1,1,HOUGANG STREET 11,531159
S02028K000,NTUC Fairprice Co-operative Ltd,na,202,1,0,HOUGANG STREET 21,530202
NE15467C000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,476,2,18,UPPER SERANGOON VIEW,530476
S02031V000,TAN CHUAN BOON,na,309,1,293,HOUGANG AVENUE 5,530309
S02025P000,LIM KING CHEW,na,6,1,82,HOUGANG AVENUE 3,530006
NE09263B000,NTUC Fairprice Co-operative Ltd,na,100,2,1,HOUGANG AVENUE 10,538767
S02026N000,NTUC Fairprice Co-operative Ltd,HOUGANG MALL,90,B1,7,HOUGANG AVENUE 10,538766
E02039E000,NTUC Fairprice Co-operative Ltd,na,152B,1,384,SERANGOON NORTH AVENUE 1,552152
NE10310X000,NTUC Fairprice Co-operative Ltd,MY VILLAGE,1,B1,41944,MAJU AVENUE,556679
NE15006K000,SFERM PTE. LTD.,SERANGOON GARDEN ESTATE,78,1,1,SERANGOON GARDEN WAY,555974
NE10280X000,THONG CHEW FOOD INDUSTRIES PTE LTD,na,36,na,0,YIO CHU KANG ROAD,545553
S02059X000,PRIME SUPERMARKET (1996) PTE LTD,na,106,1,1213,HOUGANG AVENUE 1,530106
B02024E000,NTUC Fairprice Co-operative Ltd,888 PLAZA,888,1,757,WOODLANDS DRIVE 50,730888
B02034B000,NTUC Fairprice Co-operative Ltd,WOODGROVE,30,na,0,WOODLANDS AVENUE 1,739065
NW14589C000,MUMTAJ BEGAM D/O MOHAMED YUSOOF,"WOODGROVE, THE",30,1,8,WOODLANDS AVENUE 1,739065
NW11389X000,AMS SUPER MART PTE LTD,MANDAI LODGE,595,na,0,MANDAI ROAD,729759
C02034X000,NTUC Fairprice Co-operative Ltd,CORONATION PLAZA,587,na,0,BUKIT TIMAH ROAD,269707
C02031B000,LAURELS FOODS SUPPLIERS PTE LTD,na,2,B1,204,PANDAN VALLEY,597626
NW06239N000,THNG SAIK MONG,na,108,1,K1,CLEMENTI STREET 11,120108
C79031J000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,21,1,177,GHIM MOH ROAD,270021
SW12M64L000,SHENG SIONG SUPERMARKET PTE LTD,na,25,1,11,GHIM MOH LINK,270025
C02024A000,COLD STORAGE SINGAPORE (1983) PTE LTD,GUTHRIE HOUSE,1,1,5,FIFTH AVENUE,268802
C00033N000,MEAT THE BUTCHER PTE. LTD.,na,615,na,0,BUKIT TIMAH ROAD,269716
C02052N000,YEO KENG GUAN,RIDGEWOOD CONDOMINIUM,5,na,0,RIDGEWOOD CLOSE,276696
B02060V000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,256,1,69,BANGKIT ROAD,670256
B02026B000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,445,1,536,FAJAR ROAD,670445
NW15709P000,NTUC Fairprice Co-operative Ltd,na,2,2,6,BUKIT PANJANG RING ROAD,679947
NW15186C000,SHENG SIONG SUPERMARKET PTE LTD,MULTI STOREY CAR PARK,547,1,6,SEGAR ROAD,670547
B03099C000,NTUC Fairprice Co-operative Ltd,na,628,1,1,SENJA ROAD,670628
NW13J23J000,BISMILLAH MINIMART PTE. LTD.,na,32,1,2,MANDAI ESTATE,729939
B02011P000,COLD STORAGE SINGAPORE (1983) PTE LTD,GREENRIDGE SHOPPING CENTRE,524A,3,13/18,JELAPANG ROAD,671524
NW09331A000,HH SUNDRY SHOP PTE. LTD.,na,23,1,21,MANDAI ESTATE,729937
NW16252K000,GOWRI'S GLOBAL MARKETING PTE. LTD.,LEVEL 1,460,na,0,MANDAI ROAD,729760
NW15751L000,SADIA MINIMART PTE LTD,ELDIX,11,1,16,MANDAI ESTATE,729908
J02011C000,COLD STORAGE SINGAPORE (1983) PTE LTD,na,464,na,0,UPPER BUKIT TIMAH ROAD,678077
NW11767E000,COLD STORAGE SINGAPORE (1983) PTE LTD,THE TENNERY,1,1,7,WOODLANDS ROAD,677899
B02020N000,NTUC Fairprice Co-operative Ltd,BUKIT PANJANG PLAZA,1,1,15,JELEBU ROAD,677743
B02017C000,SHENG SIONG SUPERMARKET PTE LTD,na,301,1,217,WOODLANDS STREET 31,730301
B02022K000,NTUC Fairprice Co-operative Ltd,MARSILING MRT STATION,71,1,1,WOODLANDS AVENUE 3,739044
